"ID";"Geslacht";"Persoonskenmerken";"UitstromersHoMetEnZonderDiploma";"Arbeidsmarktpositie";"Studierichting";"Peilmoment";"Perioden";"UitstromersHo_1"
"2147529";"3000   ";"A051735";"A043049";"A028816";"A042611";"A029081";"2015SJ00";"0"
"2147544";"3000   ";"A051735";"A043049";"A028816";"A042611";"A029082";"2015SJ00";"0"
"2147574";"3000   ";"A051735";"A043049";"A028816";"A042612";"A029077";"2015SJ00";"760"
"2147589";"3000   ";"A051735";"A043049";"A028816";"A042612";"A029078";"2015SJ00";"250"
"2147604";"3000   ";"A051735";"A043049";"A028816";"A042612";"A029079";"2015SJ00";"160"
"2147619";"3000   ";"A051735";"A043049";"A028816";"A042612";"A029080";"2015SJ00";"130"
"2147634";"3000   ";"A051735";"A043049";"A028816";"A042612";"A029081";"2015SJ00";"90"
"2147649";"3000   ";"A051735";"A043049";"A028816";"A042612";"A029082";"2015SJ00";"90"
"2147679";"3000   ";"A051735";"A043049";"A028816";"A042613";"A029077";"2015SJ00";"80"
"2147694";"3000   ";"A051735";"A043049";"A028816";"A042613";"A029078";"2015SJ00";"30"
"2147709";"3000   ";"A051735";"A043049";"A028816";"A042613";"A029079";"2015SJ00";"30"
"2147724";"3000   ";"A051735";"A043049";"A028816";"A042613";"A029080";"2015SJ00";"20"
"2147739";"3000   ";"A051735";"A043049";"A028816";"A042613";"A029081";"2015SJ00";"10"
"2147754";"3000   ";"A051735";"A043049";"A028816";"A042613";"A029082";"2015SJ00";"20"
"2147784";"3000   ";"A051735";"A043049";"A028816";"A042614";"A029077";"2015SJ00";"860"
"2147799";"3000   ";"A051735";"A043049";"A028816";"A042614";"A029078";"2015SJ00";"390"
"2147814";"3000   ";"A051735";"A043049";"A028816";"A042614";"A029079";"2015SJ00";"270"
"2147829";"3000   ";"A051735";"A043049";"A028816";"A042614";"A029080";"2015SJ00";"190"
"2147844";"3000   ";"A051735";"A043049";"A028816";"A042614";"A029081";"2015SJ00";"110"
"2147859";"3000   ";"A051735";"A043049";"A028816";"A042614";"A029082";"2015SJ00";"110"
"2147889";"3000   ";"A051735";"A043049";"A028816";"A042615";"A029077";"2015SJ00";"0"
"2147904";"3000   ";"A051735";"A043049";"A028816";"A042615";"A029078";"2015SJ00";"0"
"2147919";"3000   ";"A051735";"A043049";"A028816";"A042615";"A029079";"2015SJ00";"0"
"2147934";"3000   ";"A051735";"A043049";"A028816";"A042615";"A029080";"2015SJ00";"0"
"2147949";"3000   ";"A051735";"A043049";"A028816";"A042615";"A029081";"2015SJ00";"0"
"2147964";"3000   ";"A051735";"A043049";"A028816";"A042615";"A029082";"2015SJ00";"0"
"2147994";"3000   ";"A051735";"A043049";"A028816";"A042616";"A029077";"2015SJ00";"150"
"2148009";"3000   ";"A051735";"A043049";"A028816";"A042616";"A029078";"2015SJ00";"60"
"2148024";"3000   ";"A051735";"A043049";"A028816";"A042616";"A029079";"2015SJ00";"40"
"2148039";"3000   ";"A051735";"A043049";"A028816";"A042616";"A029080";"2015SJ00";"40"
"2148054";"3000   ";"A051735";"A043049";"A028816";"A042616";"A029081";"2015SJ00";"20"
"2148069";"3000   ";"A051735";"A043049";"A028816";"A042616";"A029082";"2015SJ00";"20"
"2148099";"3000   ";"A051735";"A043049";"A028816";"A042617";"A029077";"2015SJ00";"140"
"2148114";"3000   ";"A051735";"A043049";"A028816";"A042617";"A029078";"2015SJ00";"50"
"2148129";"3000   ";"A051735";"A043049";"A028816";"A042617";"A029079";"2015SJ00";"40"
"2148144";"3000   ";"A051735";"A043049";"A028816";"A042617";"A029080";"2015SJ00";"30"
"2148159";"3000   ";"A051735";"A043049";"A028816";"A042617";"A029081";"2015SJ00";"20"
"2148174";"3000   ";"A051735";"A043049";"A028816";"A042617";"A029082";"2015SJ00";"20"
"2148204";"3000   ";"A051735";"A043049";"A028816";"A042618";"A029077";"2015SJ00";"0"
"2148219";"3000   ";"A051735";"A043049";"A028816";"A042618";"A029078";"2015SJ00";"0"
"2148234";"3000   ";"A051735";"A043049";"A028816";"A042618";"A029079";"2015SJ00";"0"
"2148249";"3000   ";"A051735";"A043049";"A028816";"A042618";"A029080";"2015SJ00";"0"
"2148264";"3000   ";"A051735";"A043049";"A028816";"A042618";"A029081";"2015SJ00";"0"
"2148279";"3000   ";"A051735";"A043049";"A028816";"A042618";"A029082";"2015SJ00";"0"
"2148309";"3000   ";"A051735";"A043049";"A043837";"T001332";"A029077";"2015SJ00";
"2148324";"3000   ";"A051735";"A043049";"A043837";"T001332";"A029078";"2015SJ00";"800"
"2148339";"3000   ";"A051735";"A043049";"A043837";"T001332";"A029079";"2015SJ00";"1120"
"2148354";"3000   ";"A051735";"A043049";"A043837";"T001332";"A029080";"2015SJ00";"1320"
"2148369";"3000   ";"A051735";"A043049";"A043837";"T001332";"A029081";"2015SJ00";"1460"
"2148384";"3000   ";"A051735";"A043049";"A043837";"T001332";"A029082";"2015SJ00";"1570"
"2148414";"3000   ";"A051735";"A043049";"A043837";"A042609";"A029077";"2015SJ00";
"2148429";"3000   ";"A051735";"A043049";"A043837";"A042609";"A029078";"2015SJ00";"90"
"2148444";"3000   ";"A051735";"A043049";"A043837";"A042609";"A029079";"2015SJ00";"150"
"2148459";"3000   ";"A051735";"A043049";"A043837";"A042609";"A029080";"2015SJ00";"200"
"2148474";"3000   ";"A051735";"A043049";"A043837";"A042609";"A029081";"2015SJ00";"220"
"2148489";"3000   ";"A051735";"A043049";"A043837";"A042609";"A029082";"2015SJ00";"240"
"2148519";"3000   ";"A051735";"A043049";"A043837";"A042610";"A029077";"2015SJ00";
"2148534";"3000   ";"A051735";"A043049";"A043837";"A042610";"A029078";"2015SJ00";"20"
"2148549";"3000   ";"A051735";"A043049";"A043837";"A042610";"A029079";"2015SJ00";"20"
"2148564";"3000   ";"A051735";"A043049";"A043837";"A042610";"A029080";"2015SJ00";"30"
"2148579";"3000   ";"A051735";"A043049";"A043837";"A042610";"A029081";"2015SJ00";"30"
"2148594";"3000   ";"A051735";"A043049";"A043837";"A042610";"A029082";"2015SJ00";"30"
"2148624";"3000   ";"A051735";"A043049";"A043837";"A042611";"A029077";"2015SJ00";
